EngNames	Lat	Lon	Language	Group	Family	color	label
Novo-Argvani	42.78174	46.60445	Avar	Avar	Nakh-Daghestanian	yellow	͏͏
Novoterechnoe	44.01557	47.34915	Avar	Avar	Nakh-Daghestanian	yellow	͏͏
Novogeorgievka	43.9314	46.6339	Avar	Avar	Nakh-Daghestanian	yellow	͏͏
Novogladovka	43.84923	46.89421	Avar	Avar	Nakh-Daghestanian	yellow	͏͏
Novye Gadari	43.19425	46.76904	Avar	Avar	Nakh-Daghestanian	yellow	͏͏
Novoe Kheleturi	43.47958	46.784633	Avar	Avar	Nakh-Daghestanian	yellow	͏͏
Novokare	43.6011	46.9675	Avar	Avar	Nakh-Daghestanian	yellow	͏͏
Novokokhanovskoe	43.8672	46.6508	Avar	Avar	Nakh-Daghestanian	yellow	͏͏
Novomekhel'ta	43.249918	46.54397	Avar	Avar	Nakh-Daghestanian	yellow	͏͏
Novomonastyrskoe	43.865916	46.607527	Avar	Avar	Nakh-Daghestanian	yellow	͏͏
Novonadezhdovka	43.83556	46.93295	Avar	Avar	Nakh-Daghestanian	yellow	͏͏
Novoromanovka	43.9567	46.6444	Avar	Avar	Nakh-Daghestanian	yellow	͏͏
Novosasitli	43.38468	46.58564	Avar	Avar	Nakh-Daghestanian	yellow	͏͏
Novochurtakh	43.2131	46.5436	Avar	Avar	Nakh-Daghestanian	yellow	͏͏
Novyy Bakhtemir	44.131866	47.265502	Avar	Avar	Nakh-Daghestanian	yellow	͏͏
Novyy Biryuzyak	43.77431	47.294614	Avar	Avar	Nakh-Daghestanian	yellow	͏͏
Novyy Sulak	43.21068	46.81809	Avar	Avar	Nakh-Daghestanian	yellow	͏͏
Novyy Khushet	42.900261	47.561244	Avar	Avar	Nakh-Daghestanian	yellow	͏͏
Novyy Chechen'	44.254761	47.07089	Avar	Avar	Nakh-Daghestanian	yellow	͏͏
Novyy Chirkey	43.1617	47.0567	Avar	Avar	Nakh-Daghestanian	yellow	͏͏
Noyrukh	42.193895	46.38005	Avar	Avar	Nakh-Daghestanian	yellow	͏͏
Nukush	42.1492	46.80579	Avar	Avar	Nakh-Daghestanian	yellow	͏͏
Nusi	43.45602	46.9706	Avar	Avar	Nakh-Daghestanian	yellow	͏͏
